                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9595,                  4.224,                 1.9373,                0.01484,                    0.2,                0.01991,                0.00736,                 2.0038,                 3.8593,                 2.0096,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.9908,                 3.8902,                 1.8959,                0.04072,                  0.125,                 0.0306,                0.01153,                 1.9168,                 3.5802,                 1.9333,               0.095495,             0.00049505,             0.00049505
                      2,                 1.7772,                 3.4992,                 1.8266,                0.15328,                  0.175,                0.20561,                0.08882,                 1.6557,                 2.7246,                 1.6633,               0.092784,             0.00078416,             0.00078416
                      3,                 1.8263,                  2.599,                  1.748,                0.52861,                0.48757,                0.50544,                 0.2684,                  1.385,                 1.9903,                 1.4787,               0.090067,              0.0010673,              0.0010673
                      4,                  1.576,                  1.977,                 1.7284,                0.75524,                0.78334,                0.78541,                0.50888,                 1.1259,                 1.5807,                 1.3461,               0.087345,              0.0013446,              0.0013446
                      5,                 1.4763,                 1.5964,                 1.5086,                0.76204,                0.81249,                0.81115,                0.54379,                 1.0519,                 1.3381,                 1.2474,               0.084616,              0.0016158,              0.0016158
                      6,                 1.5123,                 1.3598,                 1.4007,                 0.8132,                 0.8417,                0.83218,                0.58749,                  1.002,                 1.1208,                 1.1838,               0.081881,              0.0018812,              0.0018812
                      7,                 1.4494,                 1.2359,                 1.4178,                0.79207,                    0.8,                0.81271,                0.58651,                 1.0073,                 1.0744,                 1.1573,               0.079141,              0.0021406,              0.0021406
                      8,                 1.5062,                 1.3331,                 1.4703,                0.85362,                0.84003,                0.86612,                0.63645,                0.97863,                0.95307,                 1.1233,               0.076394,              0.0023941,              0.0023941
                      9,                 1.3857,                  1.113,                 1.4057,                0.85838,                0.81271,                0.84342,                0.61959,                0.98563,                0.99235,                 1.1255,               0.073642,              0.0026416,              0.0026416
                     10,                 1.2959,                 1.0256,                 1.3121,                 0.8532,                0.88655,                0.90094,                0.67397,                0.94165,                0.73005,                 1.1142,               0.070883,              0.0028832,              0.0028832
                     11,                 1.3321,                 1.0418,                 1.3224,                0.86457,                0.74879,                0.83268,                0.61041,                 1.0332,                0.85856,                 1.1176,               0.068119,              0.0031189,              0.0031189
                     12,                 1.3951,                0.98841,                 1.2966,                0.81373,                0.91807,                 0.9315,                0.65198,                0.98226,                0.91218,                 1.1161,               0.065349,              0.0033486,              0.0033486
                     13,                 1.2477,                 1.0279,                 1.2806,                 0.8798,                   0.95,                0.93318,                0.65805,                0.99526,                0.69258,                 1.1015,               0.062572,              0.0035723,              0.0035723
                     14,                 1.3482,                0.84951,                 1.2682,                0.93533,                   0.95,                 0.9511,                0.66465,                 1.0148,                0.81034,                 1.1162,                0.05979,              0.0037902,              0.0037902
                     15,                 1.2286,                  0.874,                 1.2774,                0.94634,                0.93093,                0.94553,                0.66327,                  1.051,                0.60752,                 1.1134,               0.057002,              0.0040021,              0.0040021
                     16,                 1.3156,                0.77983,                  1.259,                0.91227,                0.91737,                0.93815,                0.68396,                   1.01,                0.57016,                 1.0865,               0.054208,               0.004208,               0.004208
                     17,                 1.2922,                0.78005,                 1.2566,                0.82461,                0.96961,                0.95055,                0.68601,                 1.0117,                0.65453,                 1.0641,               0.051408,               0.004408,               0.004408
                     18,                 1.1941,                0.75152,                 1.1505,                0.81283,                  0.925,                0.95396,                0.66042,                 1.0763,                0.72054,                 1.0977,               0.048602,              0.0046021,              0.0046021
                     19,                 1.1681,                0.84193,                  1.184,                0.94506,                  0.925,                0.95859,                 0.6728,                 1.0225,                0.68594,                 1.0597,                0.04579,              0.0047902,              0.0047902
                     20,                 1.2293,                0.75578,                 1.2287,                0.94768,                0.94979,                0.96172,                0.66625,                 1.0263,                 0.6447,                  1.075,               0.042972,              0.0049724,              0.0049724
                     21,                 1.1093,                0.74597,                 1.1567,                0.91433,                  0.925,                0.95052,                0.66539,                 1.0191,                0.70223,                 1.0621,               0.040149,              0.0051487,              0.0051487
                     22,                 1.0604,                0.66635,                 1.0989,                0.91931,                0.91263,                0.95834,                0.65019,                 1.0973,                0.56584,                 1.0914,               0.037319,               0.005319,               0.005319
                     23,                 1.0993,                0.67572,                 1.1516,                0.92055,                0.91282,                0.96039,                0.66436,                 1.0534,                0.66814,                 1.0799,               0.034483,              0.0054833,              0.0054833
                     24,                 1.0051,                  0.619,                 1.0768,                0.91971,                  0.925,                 0.9618,                0.65641,                 1.0612,                0.54423,                 1.0789,               0.031642,              0.0056418,              0.0056418
                     25,                 1.0441,                0.71435,                 1.1335,                0.94586,                0.94431,                0.97168,                0.66166,                  1.061,                0.66103,                 1.0808,               0.028794,              0.0057942,              0.0057942
                     26,                 1.0195,                0.65458,                 1.0793,                0.93773,                0.91871,                0.97679,                0.64848,                 1.1606,                0.54419,                 1.1249,               0.025941,              0.0059408,              0.0059408
                     27,                0.96944,                0.63128,                 1.0485,                0.94281,                0.94744,                0.97649,                0.65993,                 1.0847,                0.69546,                 1.1001,               0.023081,              0.0060814,              0.0060814
                     28,                0.99121,                0.63144,                 1.0597,                0.94281,                0.94744,                0.97649,                0.65993,                 1.0847,                0.69546,                 1.1001,               0.020216,              0.0062161,              0.0062161
                     29,                0.99333,                0.54503,                 1.0464,                0.92747,                  0.975,                0.97586,                0.64981,                 1.1376,                0.61718,                 1.0992,               0.017345,              0.0063448,              0.0063448
                     30,                 1.0693,                0.58669,                 1.0587,                0.96834,                   0.95,                0.97567,                  0.665,                 1.0928,                0.51262,                 1.0882,               0.014468,              0.0064676,              0.0064676
                     31,                 1.1143,                0.63281,                 1.0781,                0.93815,                0.96686,                 0.9781,                0.62763,                 1.1759,                0.59216,                 1.1264,               0.011584,              0.0065844,              0.0065844
